
1, 0
2, 68
3, 363
4, 1168
5, 2884
6, 6038
7, 11287
8, 19423
9, 31378
10, 48229
11, 71202
12, 101677
13, 141193
14, 191454
15, 254330
16, 331867
17, 426288
18, 540000
19, 675596
20, 835862
21, 920357
22, 1015431
23, 1123336
24, 1246808
25, 1389235
26, 1554904
27, 1749413
28, 1980499
29, 2260321
30, 2634751
31, 2844287
32, 3093068
33, 3389496
34, 3744042
35, 4169902
36, 4683988
37, 5308556
38, 6074376
39, 7029248
40, 8342182
41, 8718976
42, 12842357
43, 14751932
44, 17009030
45, 19686117
46, 22875008
47, 26695470
48, 31312332
49, 36982854
50, 44659561
51, 48128727
52, 52277875
53, 57248635
54, 63216221
55, 70399827
56, 79078300
57, 89616178
58, 102514871
59, 118552044
60, 140517709
61, 153064754
62, 168231664
63, 186587702
64, 208840245
65, 235877658
66, 268833561
67, 309192920
68, 358998712
69, 421408669
70, 493177635
71, 555112374
72, 630494192
73, 722326994
74, 834354722
75, 971291524
76, 1139165674
77, 1345884863
78, 1602331019
79, 1902355477
80, 2288742870
81, 2703488268
82, 3174205601
83, 3708727539
84, 4316300702
85, 5008025097
86, 10985069426
87, 19192594397
88, 33533938399
89, 44373087147
90, 63751938490
91, 88688523458
92, 120224273113
93, 157133602347
94, 208513860393
95, 266769078393
96, 377839508352
97, 592791113370
98, 1016243369039
99, 1956916677389
100, 4178380725001
101, 6473062301454
102, 13523955372407
103, 24422086452639
104, 38752303396110
105, 58035537321346
106, 84822095225670
107, 142965964710870
