
1, 0
2, 50
3, 58
4, 67
5, 78
6, 90
7, 104
8, 120
9, 138
10, 159
11, 183
12, 211
13, 243
14, 280
15, 323
16, 372
17, 428
18, 493
19, 567
20, 653
21, 752
22, 865
23, 995
24, 1145
25, 1317
26, 1515
27, 1743
28, 2005
29, 2306
30, 2652
31, 3050
32, 3508
33, 4035
34, 4641
35, 5338
36, 6139
37, 7060
38, 8119
39, 9337
40, 10738
41, 12349
42, 14202
43, 16333
44, 18783
45, 21601
46, 24842
47, 28569
48, 32855
49, 37784
50, 43452
51, 49970
52, 57466
53, 66086
54, 76000
55, 87400
56, 100510
57, 115587
58, 132926
59, 152866
60, 175796
61, 202166
62, 232492
63, 267366
64, 307472
65, 353593
66, 406633
67, 467628
68, 537773
69, 618439
70, 711205
71, 817886
72, 940570
73, 1081656
74, 1243905
75, 1430491
76, 1645065
77, 1891825
78, 2175599
79, 2501939
80, 2877230
81, 3308815
82, 3805138
83, 4375909
84, 5032296
85, 5787141
86, 6655213
87, 7653495
88, 8801520
89, 10121749
90, 11640012
91, 13386014
92, 15393917
93, 17703005
94, 20358456
95, 23412225
96, 26924059
97, 30962668
98, 35607069
99, 40948130
100, 66783807
101, 111783807
102, 224730623
103, 585239553
104, 1574220864
105, 3257523033
106, 30000000000
107, 300000000000
108, 3000000000000
109, 30000000000000
110, 300000000000000
111, 3000000000000000
112, 30000000000000000
113, 300000000000000000
